Scenario,Model,MAE,R2
A. Real Only,LSTM,0.3110342025756836,-0.1288433074951172
A. Real Only,GRU,0.2965945303440094,-0.09988021850585938
A. Real Only,1D-CNN,0.2856387197971344,-0.04672586917877197
B. Synthetic Only,LSTM,0.3492637276649475,-0.6749987602233887
B. Synthetic Only,GRU,0.36519333720207214,-0.7302854061126709
B. Synthetic Only,1D-CNN,0.32043012976646423,-0.13653886318206787
C. Combined,LSTM,0.33846697211265564,-0.28862762451171875
C. Combined,GRU,0.31906306743621826,-0.19948863983154297
C. Combined,1D-CNN,0.28322556614875793,0.07111072540283203
