Stage1_Total_Rain,Stage1_Mean_Temp,Stage1_Mean_Humidity,Stage1_Rain_Weeks,Stage1_Max_Weekly_Rain,Stage1_Heat_Stress_Weeks,Stage1_Rain_x_Temp,Stage1_Heat_x_Hum,Stage2_Total_Rain,Stage2_Mean_Temp,Stage2_Mean_Humidity,Stage2_Rain_Weeks,Stage2_Max_Weekly_Rain,Stage2_Heat_Stress_Weeks,Stage2_Rain_x_Temp,Stage2_Heat_x_Hum,Stage3_Total_Rain,Stage3_Mean_Temp,Stage3_Mean_Humidity,Stage3_Rain_Weeks,Stage3_Max_Weekly_Rain,Stage3_Heat_Stress_Weeks,Stage3_Rain_x_Temp,Stage3_Heat_x_Hum,Stage4_Total_Rain,Stage4_Mean_Temp,Stage4_Mean_Humidity,Stage4_Rain_Weeks,Stage4_Max_Weekly_Rain,Stage4_Heat_Stress_Weeks,Stage4_Rain_x_Temp,Stage4_Heat_x_Hum,Interaction_RipeningRain_VegetativeRain,Yield,Is_Synthetic,District,Year
802.4999999999999,29.048571426000002,81.742857144,5.0,297.0,1.0,23311.478569364997,2374.5132243127987,901.1000000000001,26.726190478333333,90.85714285666667,6.0,281.7,0.0,24082.97024002617,2428.2653063044163,188.8,27.169047618333334,86.28809523666666,6.0,58.3,0.0,5129.516190341334,2344.365368380278,128.20000000000002,26.500000001666667,78.63095238166666,4.0,108.7,0.0,3397.3000002136673,2083.7202382452183,115521.02000000003,1.39,0.0,Bharuch,2013.0
28.099999999999998,31.542857144,66.91999999999999,1.0,21.6,5.0,886.3542857463999,2110.8480000764794,346.70000000000005,28.340476190000004,83.52857142833334,6.0,127.9,1.0,9825.643095073003,2367.2394897493955,286.69999999999993,27.23095238,86.77142857166668,5.0,115.9,0.0,7807.114047345998,2362.868639379627,21.200000000000003,28.192857141666664,68.62142857166667,2.0,12.9,0.0,597.6885714033334,1934.6341325780816,7350.040000000002,1.92,0.0,Bharuch,2014.0
11.0,22.68571428333333,49.52857143,2.0,6.0,0.0,249.54285711666662,1123.591020322646,4.9,26.58367347,48.455102041428574,0.0,2.3,0.0,130.26000000300002,1288.1146106248677,2.5,31.273809521666667,53.55952380833333,0.0,1.9,5.0,78.18452380416667,1675.0103456529876,8.6,28.077551020000005,52.24183673571429,0.0,2.3,4.0,241.46693877200002,1466.8228363255284,42.14,3.19,0.0,Bharuch,2014.0
530.6999999999999,29.757142856,77.07428571400001,4.0,338.4,2.0,15792.115713679199,2293.5105305156585,177.29999999999998,27.99523809333333,84.08809523833334,5.0,123.4,0.0,4963.555713947999,2354.0662470120305,500.20000000000005,27.776190474999996,82.35952381,6.0,349.3,0.0,13893.650475594999,2287.633820776857,10.2,28.404761905,67.76904761833333,2.0,6.1,0.0,289.728571431,1924.9636621273658,1808.4599999999998,1.77,0.0,Bharuch,2015.0
0.8999999999999999,23.028571426666662,47.44047618833333,0.0,0.7,0.0,20.725714283999995,1092.4863944181132,7.5,27.510204079999998,45.92448979571429,1.0,4.7,2.0,206.32653059999998,1263.3920865499774,10.0,30.869047620000003,59.98095238,1.0,9.9,4.0,308.69047620000003,1851.5548753111725,10.399999999999999,28.253571428571426,50.91505102000001,1.0,10.2,4.0,293.8371428571428,1438.5320307829286,77.99999999999999,3.21,0.0,Bharuch,2015.0
121.69900000000001,31.325714288,68.477142856,2.0,64.989,4.0,3812.3081031353126,2145.0954123656165,566.052,27.407142858333334,87.29047619,6.0,152.886,0.0,15513.868029245301,2392.3825511112746,339.162,27.126190476666668,84.95238095333333,6.0,139.626,0.0,9200.17301444722,2304.4344671864696,121.51899999999999,26.247619046666667,73.72380952333334,2.0,117.633,0.0,3189.5844189318864,1935.0744670374697,68786.072988,1.63,0.0,Bharuch,2016.0
0.0,23.540476189999996,40.13095238,0.0,0.0,0.0,0.0,944.7017289834135,0.0,28.27857142666667,43.745238095,0.0,0.0,2.0,0.0,1237.0528400459973,2.9,31.652380954999998,52.428571430000005,1.0,2.9,6.0,91.7919047695,1659.4891158287892,0.0,28.916581632857145,51.37525510285714,0.0,0.0,4.0,0.0,1485.596758090629,0.0,2.69,0.0,Bharuch,2016.0
304.73199999999997,31.377142856,73.065714284,5.0,123.646,4.0,9561.61949679459,2292.5933549647475,409.785,28.676190476666665,82.845238095,6.0,157.838,0.0,11751.07271448085,2375.6858276970215,351.34,28.935714285,81.90714285666668,6.0,179.023,0.0,10166.2738568919,2370.041683601186,34.398,29.33571428666667,65.895238095,2.0,31.19,1.0,1009.0899000327602,1933.083877606793,14095.784430000002,1.89,0.0,Bharuch,2017.0
0.0,22.071428573333336,57.24285714166666,0.0,0.0,0.0,0.0,1263.4316327358197,0.0,27.84285714142857,47.32040816428571,0.0,0.0,1.0,0.0,1317.5353643922972,0.0,31.48333333333333,53.776190475,0.0,0.0,5.0,0.0,1693.0537301212498,109.39699999999999,28.006632651428568,64.86607142999999,3.0,101.321,4.0,3063.841592168331,1816.6802340813356,0.0,2.17,0.0,Bharuch,2017.0
146.567,31.965714286,69.174285714,4.0,89.12,4.0,4685.118845756162,2211.2054530718556,808.557,28.364285715000005,84.14047619333333,6.0,368.304,0.0,22934.14176486326,2386.5845069438624,266.043,28.119047616666666,79.64999999999999,6.0,119.3,0.0,7480.87578508085,2239.6821426674996,0.7,29.86428571333333,59.56666666666667,0.0,0.7,3.0,20.90499999933333,1778.9159523242222,565.9898999999999,1.53,0.0,Bharuch,2018.0
0.0,23.08809523666667,56.53095238166666,0.0,0.0,0.0,0.0,1305.1920124073883,0.0,28.29387755142857,45.47755102,0.0,0.0,1.0,0.0,1286.7362598987254,0.0,32.064285715,54.423809523333325,0.0,0.0,6.0,0.0,1745.0605782548976,14.397,28.06607143,57.89540816428571,1.0,13.054,4.0,404.06723037771,1624.896661007848,0.0,2.67,0.0,Bharuch,2018.0
264.539,31.611428569999998,71.05142857199999,3.0,214.404,4.0,8362.455702479228,2246.0371591002345,794.872,29.088095238333334,83.71666666666667,6.0,446.498,2.0,23121.312438284494,2435.1583730358057,432.589,28.421428571666667,84.96428571166668,6.0,131.201,0.0,12294.79736438871,2414.806377496813,166.845,28.483333333333334,76.79761904833333,6.0,82.076,0.0,4752.3017500000005,2187.4521825600277,132620.41884,1.58,0.0,Bharuch,2019.0
0.0,20.945238096666667,52.27142857333333,0.0,0.0,0.0,0.0,1094.8375171213718,0.0,26.579591835714286,47.28163265285714,0.0,0.0,1.0,0.0,1256.7264972391235,2.1,31.84761904666667,52.27380952499999,0.0,1.3,6.0,66.879999998,1664.7963718702151,0.1,28.38494898,63.92346938714285,0.0,0.1,4.0,2.8384948980000004,1814.4644171786417,0.0,2.8,0.0,Bharuch,2019.0
221.04099999999997,30.977142858,74.214285714,4.0,92.029,4.0,6847.218634475177,2298.9465306670068,645.479,29.42857142833334,84.00476190666667,6.0,237.215,0.0,18995.524856989177,2472.1401360904756,856.234,28.630952381666663,86.38571428833335,6.0,313.539,1.0,24514.794881563976,2473.3052722455336,22.064,29.78333333333333,65.01904762,2.0,14.705,3.0,657.1394666666666,1936.483968282333,14241.848656,1.78,0.0,Bharuch,2020.0
0.0,21.307142856666665,60.80952380833333,0.0,0.0,0.0,0.0,1295.677210830031,5.823,26.885714286666666,52.638095240000006,1.0,3.667,0.0,156.55551429126,1415.2127892169888,0.0,32.66904761833333,52.607142855,0.0,0.0,6.0,0.0,1718.625254994459,127.38799999999999,27.988520408571425,65.39566326428572,2.0,92.029,3.0,3565.4016378070964,1830.3278559045254,741.780324,2.39,0.0,Bharuch,2020.0
271.085,30.634285716,74.594285714,4.0,153.571,4.0,8304.49534332186,2285.142661343613,192.269,29.697619046666663,78.24761905,6.0,65.479,2.0,5709.9315164835525,2323.767981855597,615.889,28.261904761666667,84.73809523833334,6.0,194.192,0.0,17406.196261758123,2394.8599773108167,288.172,28.242857141666665,71.32380952333332,3.0,215.861,0.0,8138.800628228367,2014.3881631669474,55406.542268000005,2.02,0.0,Bharuch,2021.0
